run,summary,status,iterations,error
fold_debug_20260827_162957,runs/fold_debug_20260827_162957/results/fold_exploration/20260827T082957236393Z/summary.json,BLOCKED,0,"Current images show an entirely unfolded T-shirt: both sleeves extended, chest print fully exposed, hem flat, and no thickness ridges in either height map. None of the five sub-actions are visibly complete, so completed_steps is empty. However, the garment mask touches the Camera A bottom border (bbox bottom 718 of 720, margin 8 px) and the lower sleeve visibly exits the frame in both cameras, making visibility PARTIAL. Per policy, a border-touching garment must be recovered before another fold "
fold_debug_20260827_163808,runs/fold_debug_20260827_163808/results/fold_exploration/20260827T083808747689Z/summary.json,FAILED,0,KeyboardInterrupt: 
fold_debug_20260827_163819,runs/fold_debug_20260827_163819/results/fold_exploration/20260827T083819961562Z/summary.json,FAILED,0,KeyboardInterrupt: 
fold_debug_20260827_164458,runs/fold_debug_20260827_164458/results/fold_exploration/20260827T084458591038Z/summary.json,BLOCKED,0,"Current images show a completely unfolded T-shirt: both sleeves still extend outward, the chest print is fully exposed with no side panel folded over it, and the hem shows no upward fold seam, so zero of the five sub-actions are visibly complete. Folding cannot proceed because the garment mask touches the bottom Camera-A border (bbox bottom 718 of 720, within the 8 px margin), making visibility PARTIAL. With no previous trajectory recorded, recovery must be newly planned as an inward reposition "
fold_debug_20260827_165840,runs/fold_debug_20260827_165840/results/fold_exploration/20260827T085840715886Z/summary.json,FAILED,0,TimeoutError: fold supervisor timed out after 300s
fold_exploration_20260827_161252,runs/fold_exploration_20260827_161252/results/fold_exploration/20260827T081252809451Z/summary.json,RUNNING,0,
fold_grasp_learning_20260828_153842,runs/fold_grasp_learning_20260828_153842/results/fold_exploration/20260828T073842462249Z/summary.json,FAILED,3,KeyboardInterrupt: 
fold_grasp_learning_20260828_164230,runs/fold_grasp_learning_20260828_164230/results/fold_exploration/20260828T084230436478Z/summary.json,FAILED,0,KeyboardInterrupt: 
fold_gripper_sdk_20260829_021511,runs/fold_gripper_sdk_20260829_021511/results/fold_exploration/20260828T181749340433Z/summary.json,FAILED,0,TypeError: FoldExplorationPipeline._debug_exception() got multiple values for argument 'stage'
fold_gripper_sdk_20260829_021819,runs/fold_gripper_sdk_20260829_021819/results/fold_exploration/20260828T181826742662Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): Exception: connect socket failed
fold_gripper_sdk_20260829_021853,runs/fold_gripper_sdk_20260829_021853/results/fold_exploration/20260828T181945610653Z/summary.json,FAILED,1,KeyboardInterrupt: 
fold_holdcheck_20260829_232626,runs/fold_holdcheck_20260829_232626/results/fold_exploration/20260829T152626706046Z/summary.json,FAILED,0,"RuntimeError: Claude fold planning failed after 2 attempt(s): ExplorationPlanningError: final grasp XY does not use the visually selected Rxxx measurement: selected=A/R031 expected_xy=[671.5786743164062, 52.235992431640625] actual_xy=[490.8, -212.0] error=320.2 mm; ordinary tasks allow at most 2.0 mm"
fold_holdcheck_20260830_003337,runs/fold_holdcheck_20260830_003337/results/fold_exploration/20260829T163337615049Z/summary.json,FAILED,1,KeyboardInterrupt: 
fold_holdcheck_20260830_004839,runs/fold_holdcheck_20260830_004839/results/fold_exploration/20260829T164839247141Z/summary.json,FAILED,0,"SafetyError: controller IK rejected action 2 segment sample 27/31 pose=[727.8556010899697, 17.049829976727885, 140.6451652280746, 178.37081042914255, 3.6069411022177245, 170.56913556131497], code=10"
fold_inherit_20260828_222927,runs/fold_inherit_20260828_222927/results/fold_exploration/20260828T142927336893Z/summary.json,FAILED,1,RuntimeError: Claude fold planning failed after 2 attempt(s): ExplorationPlanningError: the first post-grasp move must lift above the grasp height for a hold check
fold_inherit_20260828_225638,runs/fold_inherit_20260828_225638/results/fold_exploration/20260828T145638429755Z/summary.json,FAILED,2,RuntimeError: Claude fold planning failed after 2 attempt(s): ExplorationPlanningError: the first post-grasp move must lift above the grasp height for a hold check
fold_inherit_20260828_234505,runs/fold_inherit_20260828_234505/results/fold_exploration/20260828T154505238111Z/summary.json,FAILED,2,KeyboardInterrupt: 
fold_molmo_20260828_012921,runs/fold_molmo_20260828_012921/results/fold_exploration/20260827T172922127650Z/summary.json,FAILED,0,RuntimeError: Claude fold planning failed after 3 attempt(s): ExplorationPlanningError: safety_notes must contain 1 to 10 strings
fold_molmo_20260828_020438,runs/fold_molmo_20260828_020438/results/fold_exploration/20260827T180438471453Z/summary.json,FAILED,0,KeyboardInterrupt: 
fold_molmo_20260828_021707,runs/fold_molmo_20260828_021707/results/fold_exploration/20260827T181708015508Z/summary.json,FAILED,2,"RuntimeError: Claude fold planning failed after 3 attempt(s): ReferenceReselectionExhaustedError: Stage 1 could not select an executable reference after 3 attempt(s); rejected=A/R002, A/R003, A/R006"
fold_molmo_20260828_032627,runs/fold_molmo_20260828_032627/results/fold_exploration/20260827T192627439033Z/summary.json,FAILED,3,"RuntimeError: Claude fold planning failed after 3 attempt(s): ExplorationPlanningError: final grasp XY does not use the visually selected Rxxx measurement: selected=A/R103 expected_xy=[385.347900390625, -247.7335205078125] actual_xy=[385.3, -244.0] error=3.7 mm"
fold_molmo_20260828_141304,runs/fold_molmo_20260828_141304/results/fold_exploration/20260828T061304194679Z/summary.json,FAILED,1,KeyboardInterrupt: 
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T173728577449Z/summary.json,FAILED,3,RuntimeError: after perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T190037388549Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T190148745833Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.4 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T190306096104Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T190427453206Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T190554853923Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T190726187329Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 3.6 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T190903586923Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T191044905025Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 3.8 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T191232312069Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T191424713861Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T191621144859Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T191822746470Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T192024122059Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 4.1 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T192225459562Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 3.8 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T192427899073Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T192629289075Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 3.6 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T192830647059Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.6 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T193032029368Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T193233372198Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T193435667895Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T193636931148Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T193838274144Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T194040686120Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T194242027428Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T194442350392Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
